"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
52.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
53.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
54.00,"ND","ND","PLPL","ND","ND","ND","ND","ND","ND","ND","ND"
54.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
55.00,"ND","ND","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
55.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
56.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
57.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
58.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
59.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
60.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
61.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
62.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
63.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
64.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
65.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
66.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
67.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
68.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
68.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
69.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
69.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
70.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
71.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
72.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
72.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
73.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
74.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
75.00,"formacin Becerra","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
