"IDLOCALIDA","NOMBRE_ALTERNATIVO"
560.00,"ND"
561.00,"ND"
562.00,"ND"
563.00,"ND"
564.00,"ND"
565.00,"San Pablo Etla"
566.00,"Lacantn"
567.00,"ND"
568.00,"ND"
569.00,"ND"
570.00,"ND"
571.00,"ND"
572.00,"E:8:5"
573.00,"ND"
574.00,"ND"
575.00,"ND"
576.00,"ND"
577.00,"ND"
578.00,"ND"
579.00,"ND"
580.00,"ND"
581.00,"ND"
583.00,"El hombre de Tepexpan"
584.00,"ND"
585.00,"ND"
586.00,"H:2:2"
587.00,"ND"
588.00,"ND"
589.00,"ND"
590.00,"Loma Terremote"
590.00,"Terremote"
590.00,"Terremote Tlaltenco"
590.00,"Terremote Tlatenco"
590.00,"Terremote-Tlatenco"
591.00,"ND"
592.00,"ND"
593.00,"ND"
594.00,"ND"
595.00,"ND"
596.00,"ND"
597.00,"Coacalco"
598.00,"ND"
599.00,"ND"
600.00,"ND"
601.00,"ND"
602.00,"ND"
603.00,"ND"
604.00,"Colonia Temixco II"
605.00,"ND"
606.00,"Ejido de Pantanal"
607.00,"ND"
609.00,"ND"
610.00,"ND"
611.00,"ND"
612.00,"ND"
613.00,"ND"
614.00,"ND"
616.00,"ND"
618.00,"ND"
620.00,"ND"
623.00,"ND"
624.00,"ND"
625.00,"ND"
626.00,"ND"
629.00,"ND"
630.00,"ND"
631.00,"ND"
634.00,"ND"
635.00,"ND"
638.00,"ND"
639.00,"ND"
645.00,"ND"
646.00,"ND"
647.00,"ND"
648.00,"ND"
650.00,"ND"
651.00,"ND"
653.00,"ND"
655.00,"ND"
656.00,"Cd. Satlite"
657.00,"ND"
658.00,"Totolzingo"
659.00,"ND"
660.00,"ND"
661.00,"ND"
664.00,"ND"
665.00,"ND"
666.00,"cerca de la ciudad de Pachuca"
669.00,"Conjunto Roca Azul"
672.00,"ND"
673.00,"ND"
674.00,"ND"
676.00,"ND"
677.00,"ND"
679.00,"ND"
680.00,"ND"
682.00,"ND"
683.00,"ND"
686.00,"ND"
687.00,"ND"
688.00,"ND"
690.00,"ND"
692.00,"Hueyatlaco"
693.00,"Arenillas"
694.00,"Puente de Atepicingo"
695.00,"Caulapan"
696.00,"ND"
697.00,"Totimehuacan"
698.00,"ND"
699.00,"ND"
700.00,"Brechas coloradas de San Luis Potos"
701.00,"ND"
704.00,"ND"
705.00,"ND"
706.00,"ND"
707.00,"ND"
708.00,"ND"
709.00,"ND"
711.00,"ND"
713.00,"ND"
714.00,"ND"
716.00,"ND"
717.00,"ND"
719.00,"ND"
720.00,"ND"
721.00,"ND"
722.00,"ND"
723.00,"ND"
725.00,"ND"
727.00,"ND"
728.00,"ND"
729.00,"ND"
730.00,"ND"
731.00,"ND"
732.00,"ND"
733.00,"ND"
734.00,"ND"
735.00,"ND"
736.00,"ND"
737.00,"ND"
738.00,"ND"
739.00,"ND"
740.00,"ND"
741.00,"ND"
742.00,"ND"
743.00,"ND"
744.00,"ND"
745.00,"ND"
749.00,"ND"
750.00,"ND"
751.00,"ND"
753.00,"ND"
754.00,"ND"
756.00,"ND"
757.00,"ND"
760.00,"ND"
763.00,"ND"
764.00,"ND"
766.00,"ND"
770.00,"ND"
771.00,"ND"
775.00,"El Horno"
782.00,"Chinobampo"
