"IDAUTORP","APELLIDO_PATERNO","APELLIDO_MATERNO","NOMBRE","ABREVIADO"
381.00,"Chacón","Guerrero","J. del Carmen","ND"
383.00,"Martín","Arana","Raul","ND"
384.00,"Marquez","ND","Rafael","ND"
385.00,"Avilez","ND","María Rosa","ND"
386.00,"Rodríguez","Lascano","Oscar","ND"
387.00,"Garces","López","Santiago","ND"
388.00,"Gasca","Durán","Abel","ND"
389.00,"Guevara","Sánchez","Arturo","ND"
390.00,"Mora","Echeverría","Jesús I.","ND"
392.00,"Ortuño","Cos","Francisco J.","ND"
393.00,"Moreno","Cabrera","Ma. de la Luz","ND"
394.00,"López","González","Celia","ND"
395.00,"Xelhuantzi","López","María Susana","ND"
396.00,"Goodlife","ND","Elizabeth","ND"
397.00,"Goodlife","ND","Michel","ND"
399.00,"Chávez","Torres","Román A.","ND"
400.00,"Sánchez","Nava","Pedro Fco.","ND"
402.00,"Pelz","M.","Ana María","ND"
403.00,"Taylor","ND","Walter W.","ND"
405.00,"Robinson","Fuentes","Hector Miguel","ND"
406.00,"Cardénas","Argudin","Samuel","ND"
407.00,"Santamaría","ND","Diana","ND"
409.00,"Analco","Ramírez","Santiago","ND"
410.00,"Merino","Carrion","B. Leonor","ND"
411.00,"Casamiquela","ND","Rodolfo","ND"
415.00,"Frangipane","ND","Marcella","ND"
417.00,"Bate","ND","Felipe","ND"
418.00,"García-Barcena","ND","Joaquín","ND"
419.00,"Chase","Coggins","Clemence","ND"
420.00,"Shane III","ND","Orrir C.","ND"
421.00,"Castillo","Cerón","Jesús Martín","ND"
422.00,"Cabral","Perdama","Miguel Angel","ND"
423.00,"Blanco","ND","Alicia","ND"
424.00,"Carot","ND","Patricia","ND"
425.00,"González","C.","Norberto","ND"
426.00,"O'Neill","ND","Cristobal","ND"
427.00,"Esperanza","ND","José Luis","ND"
428.00,"Hurtado","ND","Honoria","ND"
430.00,"Berthelot","Fauvet","Marie-France","ND"
431.00,"Gámez","Eternod","Lorena","ND"
432.00,"Garduño","Ambriz","Mauricio G.","ND"
433.00,"Del Castillo","ND","Antonio","ND"
434.00,"Bárcena","ND","Mariano","ND"
435.00,"Cuevas","García","Martha","ND"
436.00,"Ramos","De la Vega","Jorge","ND"
437.00,"Macias","G.","Angelina","ND"
438.00,"Quiroz","Cardenas","Maria de Luordes","ND"
439.00,"Castellón","Huerta","Blas R.","ND"
440.00,"Velázquez","Corichi","Gilda","ND"
441.00,"Fowler","ND","Melvin L.","ND"
442.00,"MacNeish","ND","Richard S.","ND"
443.00,"Von Meyer","ND","Hermann","ND"
444.00,"Villada","ND","Manuel M.","ND"
445.00,"Bargalló","ND","Modesto","ND"
446.00,"Muellerried","ND","Federico K. G.","ND"
448.00,"Bryan","ND","Kirk","ND"
450.00,"Wilson","ND","D. E.","ND"
451.00,"Reeder","ND","D. M.","ND"
452.00,"Timm","ND","R. M.","ND"
454.00,"Owen","ND","R. D.","ND"
455.00,"Menu","ND","H.","ND"
457.00,"Riva","Palacio","Enrique Jr.","ND"
458.00,"L.","ND","E.","ND"
459.00,"Berlandier","ND","L.","ND"
460.00,"Hernández","Láscares","Delfino","ND"
462.00,"Kelson","ND","K. R.","ND"
463.00,"Downey","ND","J. S.","ND"
465.00,"Diersing","ND","V. E.","ND"
466.00,"Ramírez","Pulido","José","ND"
467.00,"Castro","Campillo","Alondra","ND"
468.00,"Cervantes","ND","Fernando A.","ND"
469.00,"Comas","ND","Juan","ND"
471.00,"Corona","Nuñez","José","ND"
472.00,"Herrera","ND","A. L.","ND"
475.00,"Martinez","Del Rio","Pablo","ND"
476.00,"Romano","ND","Arturo","ND"
477.00,"Sugiura","Yamamoto","Yoko","ND"
478.00,"Rodríguez","Huerta","Manuel","ND"
479.00,"Guzmán","Gutierrez","Rubén","ND"
480.00,"Huicochea","Gómez","Laura","ND"
481.00,"González","Sobrino","Blanca Z.","ND"
482.00,"Vargas","Sanders","Rocio","ND"
483.00,"Córdoba","Barradas","Luis","ND"
485.00,"Gonzalez","Arratia","Leticia","ND"
487.00,"Serra","Puche","Mari Carmen","ND"
488.00,"Guerrero","Romero","José Manuel","ND"
489.00,"Parra","Martínez","Carlos Noe","ND"
491.00,"Stains","ND","H. J.","ND"
493.00,"Serra","ND","M. C.","ND"
495.00,"Armenta","Camacho","Juan","ND"
496.00,"Grey","ND","Donald C.","ND"
497.00,"Long","ND","Austin","ND"
498.00,"Weber","ND","ND","ND"
499.00,"Marcou","ND","J.","ND"
500.00,"Roemer","ND","Ferd.","ND"
501.00,"Lucas","ND","Spencer G.","ND"
502.00,"González","León","Carlos Manuel","ND"
