"IDESPECIEVALIDA","IDCATEGORIA","IDNOMBREASCENDENTE","IDASCENDENTEOBLIGATORIO","TAXON_VALIDO","ORDEN","FAMILIA","GENERO","ESPECIE","FAUNMAP","ATLAS","AUTOR","AO","REFERENCIA_SEGUIDA","suma"
848.00,21.00,798.50,798.50,"Peromyscus zarhynchus","Rodentia","Muridae","Peromyscus","zarhynchus","ND","ROMUPERZAR","Merriam","1898",819.00,1.00
848.50,15.00,719.00,719.00,"Reithrodontomys","Rodentia","Muridae","Reithrodontomys","ND","ND","ND","Giglioli","1874",819.00,1.00
849.00,21.00,848.50,848.50,"Reithrodontomys burti","Rodentia","Muridae","Reithrodontomys","burti","RAra","ROMUREIBUR","Benson","1939",819.00,1.00
850.00,21.00,848.50,848.50,"Reithrodontomys chrysopsis","Rodentia","Muridae","Reithrodontomys","chrysopsis","ND","ROMUREICHR","Merriam","1900",819.00,1.00
851.00,21.00,848.50,848.50,"Reithrodontomys fulvescens","Rodentia","Muridae","Reithrodontomys","fulvescens","RYfu","ROMUREIFUL","J. A. Allen","1894",819.00,1.00
852.00,21.00,848.50,848.50,"Reithrodontomys gracilis","Rodentia","Muridae","Reithrodontomys","gracilis","ND","ROMUREIGRA","J. A. Allen y Chapman","1897",819.00,1.00
853.00,21.00,848.50,848.50,"Reithrodontomys hirsutus","Rodentia","Muridae","Reithrodontomys","hirsutus","ND","ROMUREIHIR","Merriam","1901",819.00,1.00
854.00,21.00,848.50,848.50,"Reithrodontomys megalotis","Rodentia","Muridae","Reithrodontomys","megalotis","RYme","ROMUREIMEG","(Baird)","1858",819.00,1.00
855.00,21.00,848.50,848.50,"Reithrodontomys mexicanus","Rodentia","Muridae","Reithrodontomys","mexicanus","ND","ROMUREIMEX","(Saussure)","1860",819.00,1.00
856.00,21.00,848.50,848.50,"Reithrodontomys microdon","Rodentia","Muridae","Reithrodontomys","microdon","ND","ROMUREIMIC","Merriam","1901",819.00,1.00
857.00,21.00,848.50,848.50,"Reithrodontomys montanus","Rodentia","Muridae","Reithrodontomys","montanus","RYmt","ROMUREIMON","(Baird)","1855",819.00,1.00
858.00,21.00,848.50,848.50,"Reithrodontomys sp.","Rodentia","Muridae","Reithrodontomys","sp.","RY","ND","ND","ND",999999999.00,1.00
859.00,21.00,848.50,848.50,"Reithrodontomys spectabilis","Rodentia","Muridae","Reithrodontomys","spectabilis","ND","ROMUREISPE","Jones y Lawlar","1965",819.00,1.00
860.00,21.00,848.50,848.50,"Reithrodontomys sumichrasti","Rodentia","Muridae","Reithrodontomys","sumichrasti","ND","ROMUREISUM","(Saussure)","1861",819.00,1.00
861.00,21.00,848.50,848.50,"Reithrodontomys tenuirostris","Rodentia","Muridae","Reithrodontomys","tenuirostris","ND","ROMUREITEN","Merriam","1901",819.00,1.00
862.00,21.00,848.50,848.50,"Reithrodontomys zacatecae","Rodentia","Muridae","Reithrodontomys","zacatecae","ND","ROMUREIZAC","Merriam","1901",819.00,1.00
862.50,15.00,719.00,719.00,"Rheomys","Rodentia","Muridae","Rheomys","ND","ND","ND","Thomas","1906",819.00,1.00
863.00,21.00,862.50,862.50,"Rheomys mexicanus","Rodentia","Muridae","Rheomys","mexicanus","ND","ROMURHEMEX","Goodwin","1959",819.00,1.00
864.00,21.00,862.50,862.50,"Rheomys sp.","Rodentia","Muridae","Rheomys","sp.","ND","ND","ND","ND",999999999.00,1.00
865.00,21.00,862.50,862.50,"Rheomys thomasi","Rodentia","Muridae","Rheomys","thomasi","ND","ROMURHETHO","Dickey","1928",819.00,1.00
865.50,15.00,719.00,719.00,"Scotinomys","Rodentia","Muridae","Scotinomys","ND","ND","ND","Thomas","1913",819.00,1.00
866.00,21.00,865.50,865.50,"Scotinomys sp.","Rodentia","Muridae","Scotinomys","sp.","ND","ND","ND","ND",999999999.00,1.00
867.00,21.00,865.50,865.50,"Scotinomys teguina","Rodentia","Muridae","Scotinomys","teguina","ND","ROMUSCOTEG","(Alston)","1877",819.00,1.00
867.50,15.00,719.00,719.00,"Sigmodon","Rodentia","Muridae","Sigmodon","ND","ND","ND","Say y Ord","1825",819.00,1.00
868.00,21.00,867.50,867.50,"Sigmodon alleni","Rodentia","Muridae","Sigmodon","alleni","ND","ROMUSIGALL","Bailey","1902",819.00,1.00
869.00,21.00,867.50,867.50,"Sigmodon arizonae","Rodentia","Muridae","Sigmodon","arizonae","ND","ROMUSIGARI","Mearns","1890",819.00,1.00
870.00,21.00,867.50,867.50,"Sigmodon curtisi","Rodentia","Muridae","Sigmodon","curtisi","ND","ND","Gidley","1922",365.00,1.00
871.00,21.00,867.50,867.50,"Sigmodon fulviventer","Rodentia","Muridae","Sigmodon","fulviventer","SIfl","ROMUSIGFUL","J. A. Allen","1889",819.00,1.00
872.00,21.00,867.50,867.50,"Sigmodon hispidus","Rodentia","Muridae","Sigmodon","hispidus","SIhi","ROMUSIGHIS","Say y Ord","1825",819.00,1.00
873.00,21.00,867.50,867.50,"Sigmodon leucotis","Rodentia","Muridae","Sigmodon","leucotis","ND","ROMUSIGLEU","Bailey","1902",819.00,1.00
874.00,21.00,867.50,867.50,"Sigmodon mascotensis","Rodentia","Muridae","Sigmodon","mascotensis","ND","ROMUSIGMAS","J. A. Allen","1897",819.00,1.00
875.00,21.00,867.50,867.50,"Sigmodon ochrognathus","Rodentia","Muridae","Sigmodon","ochrognathus","SIoc","ROMUSIGOCH","Bailey","1902",819.00,1.00
876.00,21.00,867.50,867.50,"Sigmodon sp.","Rodentia","Muridae","Sigmodon","sp.","SI","ND","ND","ND",999999999.00,1.00
876.50,15.00,719.00,719.00,"Synaptomys","Rodentia","Muridae","Synaptomys","ND","ND","ND","Baird","1858",819.00,1.00
877.00,21.00,876.50,876.50,"Synaptomys cooperi","Rodentia","Muridae","Synaptomys","cooperi","SNco","ND","Baird","1858",819.00,1.00
878.00,21.00,876.50,876.50,"Synaptomys sp.","Rodentia","Muridae","Synaptomys","sp.","SN","ND","ND","ND",999999999.00,1.00
878.50,15.00,719.00,719.00,"Tylomys","Rodentia","Muridae","Tylomys","ND","ND","ND","Peters","1866",819.00,1.00
879.00,21.00,878.50,878.50,"Tylomys bullaris","Rodentia","Muridae","Tylomys","bullaris","ND","ROMUTYLBUL","Merriam","1901",819.00,1.00
880.00,21.00,878.50,878.50,"Tylomys nudicaudus","Rodentia","Muridae","Tylomys","nudicaudus","ND","ROMUTYLNUD","(Peters)","1866",819.00,1.00
881.00,21.00,878.50,878.50,"Tylomys sp.","Rodentia","Muridae","Tylomys","sp.","ND","ND","ND","ND",999999999.00,1.00
882.00,21.00,878.50,878.50,"Tylomys tumbalensis","Rodentia","Muridae","Tylomys","tumbalensis","ND","ROMUTYLTUM","Merriam","1901",819.00,1.00
882.50,15.00,719.00,719.00,"Xenomys","Rodentia","Muridae","Xenomys","ND","ND","ND","Merriam","1892",819.00,1.00
883.00,21.00,882.50,882.50,"Xenomys nelsoni","Rodentia","Muridae","Xenomys","nelsoni","ND","ROMUXENNEL","Merriam","1892",819.00,1.00
884.00,21.00,882.50,882.50,"Xenomys sp.","Rodentia","Muridae","Xenomys","sp.","ND","ND","ND","ND",999999999.00,1.00
885.00,11.00,590.00,590.00,"Erethizontidae","Rodentia","Erethizontidae","ND","ND","ERE","ND","Bonaparte","1845",819.00,1.00
885.50,15.00,885.00,855.00,"Erethizon","Rodentia","Erethizontidae","Erethizon","ND","ND","ND","F. Cuvier","1823",819.00,1.00
886.00,21.00,885.50,885.50,"Erethizon dorsatum","Rodentia","Erethizontidae","Erethizon","dorsatum","ERdo","ROEREREDOR","(Linnaeus)","1758",819.00,1.00
887.00,21.00,885.50,885.50,"Erethizon sp.","Rodentia","Erethizontidae","Erethizon","sp.","ER","ND","ND","ND",999999999.00,1.00
887.50,15.00,885.00,855.00,"Sphiggurus","Rodentia","Erethizontidae","Sphiggurus","ND","ND","ND","F. Cuvier","1825",819.00,1.00
888.00,21.00,887.50,887.50,"Sphiggurus mexicanus","Rodentia","Erethizontidae","Sphiggurus","mexicanus","ND","ROERSPHMEX","(Kerr)","1792",819.00,1.00
889.00,21.00,887.50,887.50,"Sphiggurus sp.","Rodentia","Erethizontidae","Sphiggurus","sp.","ND","ND","ND","ND",999999999.00,1.00
890.00,11.00,590.00,590.00,"Hydrochoeridae","Rodentia","Hydrochoeridae","ND","ND","HYD","ND","Gray","1825",819.00,1.00
890.50,15.00,890.00,890.00,"Neochoerus","Rodentia","Hydrochoeridae","Neochoerus","ND","ND","ND","Hay","1926",339.00,1.00
891.00,21.00,890.50,890.50,"Neochoerus aesopi","Rodentia","Hydrochoeridae","Neochoerus","aesopi","NHpi","ND","(Leidy)","1853",339.00,1.00
892.00,21.00,890.50,890.50,"Neochoerus sp.","Rodentia","Hydrochoeridae","Neochoerus","sp.","ND","ND","ND","ND",999999999.00,1.00
893.00,11.00,590.00,590.00,"Dasyproctidae","Rodentia","Dasyproctidae","ND","ND","ND","ND","Bonaparte","1838",819.00,1.00
893.50,15.00,893.00,893.00,"Dasyprocta","Rodentia","Dasyproctidae","Dasyprocta","ND","ND","ND","Illiger","1811",819.00,1.00
894.00,21.00,893.50,893.50,"Dasyprocta mexicana","Rodentia","Dasyproctidae","Dasyprocta","mexicana","ND","RODADASMEX","Saussure","1860",819.00,1.00
895.00,21.00,893.50,893.50,"Dasyprocta punctata","Rodentia","Dasyproctidae","Dasyprocta","punctata","ND","RODADASPUN","Gray","1842",819.00,1.00
896.00,21.00,893.50,893.00,"Dasyprocta sp.","Rodentia","Dasyproctidae","Dasyprocta","sp.","ND","ND","ND","ND",999999999.00,1.00
897.00,11.00,590.00,590.00,"Agoutidae","Rodentia","Agoutidae","ND","ND","ND","ND","Gray","1821",819.00,1.00
897.50,15.00,897.00,897.00,"Agouti","Rodentia","Agoutidae","Agouti","ND","ND","ND","Lacpde","1799",819.00,1.00
898.00,21.00,897.50,897.50,"Agouti paca","Rodentia","Agoutidae","Agouti","paca","ND","ROAGAGOPAC","(Linnaeus)","1766",819.00,1.00
899.00,21.00,897.50,897.50,"Agouti sp.","Rodentia","Agoutidae","Agouti","sp.","ND","ND","ND","ND",999999999.00,1.00
900.00,8.00,1000.00,1000.00,"Lagomorpha","Lagomorpha","ND","ND","ND","ND","ND","Brandt","1855",833.00,1.00
901.00,11.00,900.00,900.00,"Leporidae","Lagomorpha","Leporidae","ND","ND","LEP","ND","Gray","1821",833.00,1.00
901.50,15.00,901.00,901.00,"Aztlanolagus","Lagomorpha","Leporidae","Aztlanolagus","ND","ND","ND","Russell y Harris","1986",48.00,1.00
902.00,21.00,901.50,901.50,"Aztlanolagus agilis","Lagomorpha","Leporidae","Aztlanolagus","agilis","AZag","ND","Russell y Harris","1986",48.00,1.00
903.00,21.00,901.50,901.50,"Aztlanolagus sp.","Lagomorpha","Leporidae","Aztlanolagus","sp.","ND","ND","ND","ND",999999999.00,1.00
903.50,15.00,901.00,901.00,"Lepus","Lagomorpha","Leporidae","Lepus","ND","ND","ND","Linnaeus","1758",833.00,1.00
904.00,21.00,903.50,903.50,"Lepus alleni","Lagomorpha","Leporidae","Lepus","alleni","LSal","LALELEPALL","Mearns","1890",834.00,1.00
905.00,21.00,903.50,903.50,"Lepus californicus","Lagomorpha","Leporidae","Lepus","californicus","LScf","LALELEPCAL","Gray","1837",834.00,1.00
906.00,21.00,903.50,903.50,"Lepus callotis","Lagomorpha","Leporidae","Lepus","callotis","ND","LALELEPCAO","Wagler","1830",834.00,1.00
908.00,21.00,903.50,903.50,"Lepus flavigularis","Lagomorpha","Leporidae","Lepus","flavigularis","ND","LALELEPFLA","Wagner","1844",819.00,1.00
909.00,21.00,903.50,903.50,"Lepus insularis","Lagomorpha","Leporidae","Lepus","insularis","ND","LALELEPINS","W. Bryant","1891",819.00,1.00
910.00,21.00,903.50,903.50,"Lepus sp.","Lagomorpha","Leporidae","Lepus","sp.","LS","ND","ND","ND",999999999.00,1.00
911.00,21.00,903.50,903.50,"Lepus townsendii","Lagomorpha","Leporidae","Lepus","townsendii","LSti","LALELEPTOW","Bachman","1839",819.00,1.00
911.50,15.00,901.00,901.00,"Romerolagus","Lagomorpha","Leporidae","Romerolagus","ND","ND","ND","Merriam","1896",833.00,1.00
912.00,21.00,911.50,911.50,"Romerolagus diazi","Lagomorpha","Leporidae","Romerolagus","diazi","ND","LALEROMDIA","(Ferrari-Prez in Daz)","1893",834.00,1.00
913.00,21.00,911.50,911.50,"Romerolagus sp.","Lagomorpha","Leporidae","Romerolagus","sp.","ND","ND","ND","ND",999999999.00,1.00
913.50,15.00,901.00,901.00,"Sylvilagus","Lagomorpha","Leporidae","Sylvilagus","ND","ND","ND","Gray","1867",833.00,1.00
914.00,21.00,913.50,913.50,"Sylvilagus audubonii","Lagomorpha","Leporidae","Sylvilagus","audubonii","SYau","LALESYLAUD","(Baird)","1858",834.00,1.00
915.00,21.00,913.50,913.50,"Sylvilagus bachmani","Lagomorpha","Leporidae","Sylvilagus","bachmani","SYba","LALESYLBAC","(Waterhouse)","1839",834.00,1.00
916.00,21.00,913.50,913.50,"Sylvilagus brasiliensis","Lagomorpha","Leporidae","Sylvilagus","brasiliensis","ND","LALESYLBRA","(Linnaeus)","1758",834.00,1.00
919.00,21.00,913.50,913.50,"Sylvilagus cunicularius","Lagomorpha","Leporidae","Sylvilagus","cunicularius","ND","LALESYLCUN","(Waterhouse)","1848",834.00,1.00
920.00,21.00,913.50,913.50,"Sylvilagus floridanus","Lagomorpha","Leporidae","Sylvilagus","floridanus","SYfl","LALESYLFLO","(J. A. Allen)","1890",834.00,1.00
921.00,21.00,913.50,913.50,"Sylvilagus graysoni","Lagomorpha","Leporidae","Sylvilagus","graysoni","ND","LALESYLGRA","(J. A. Allen)","1877",819.00,1.00
922.00,21.00,913.50,913.50,"Sylvilagus hibbardi","Lagomorpha","Leporidae","Sylvilagus","hibbardi","ND","ND","White","1984",832.00,1.00
923.00,21.00,913.50,913.50,"Sylvilagus insonus","Lagomorpha","Leporidae","Sylvilagus","insonus","ND","LALESYLINS","Nelson","1904",819.00,1.00
924.00,21.00,913.50,913.50,"Sylvilagus leonensis","Lagomorpha","Leporidae","Sylvilagus","leonensis","SYle","ND","Cushing","1945",13.00,1.00
925.00,21.00,913.50,913.50,"Sylvilagus mansuetus","Lagomorpha","Leporidae","Sylvilagus","mansuetus","ND","LALESYLMAN","Nelson","1907",819.00,1.00
926.00,21.00,913.50,913.50,"Sylvilagus sp.","Lagomorpha","Leporidae","Sylvilagus","sp.","SY","ND","ND","ND",999999999.00,1.00
927.00,0.00,0.00,0.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND",,1.00
928.00,15.00,27.00,27.00,"Myrmecophaga","Xenarthra","Myrmecophagidae","Myrmecophaga","ND","ND","ND","Linnaeus","1758",819.00,1.00
929.00,21.00,928.00,928.00,"Myrmecophaga tridactyla","Xenarthra","Myrmecophagidae","Myrmecophaga","tridactyla","ND","ND","Linnaeus","1758",819.00,1.00
930.00,15.00,901.00,901.00,"Aluralagus","Lagomorpha","Leporidae","Aluralagus","ND","ND","ND","Downey","1968",831.00,1.00
931.00,21.00,930.00,930.00,"Aluralagus sp.","Lagomorpha","Leporidae","Aluralagus","sp.","ND","ND","ND","ND",999999999.00,1.00
1000.00,5.00,,,"Mammalia","ND","ND","ND","ND","ND","ND","ND","ND",,1.00
